ID,GrossMonthlyIncome,CreditCardPayment,CarPayment,StudentLoanPayments,AppraisedValue,DownPayment,LoanAmount,MonthlyMortgagePayment,CreditScore,LVT,DTI,FEDTI,LVTCheck,DVTCheck1,MDTI,DVTCheck2,FInalCheck
1,3103,317,374,250,268468,32216.16,236251.84,1127.9,778,0.88,0.666741863,0.363486948,0,0,0.363486948,0,FALSE
2,2939,368,395,228,335467,30192.03,305274.97,2240,546,0.91,1.099353522,0.762164001,0,0,0.762164001,0,FALSE
3,4676,222,352,368,461177,36894.16,424282.84,2277.64,736,0.92,0.688545766,0.487091531,0,0,0.487091531,0,FALSE
4,8469,224,416,400,326904,22883.28,304020.72,1451.44,761,0.93,0.294183493,0.17138269,0,1,0.17138269,1,FALSE
5,2406,497,385,444,472661,23633.05,449027.95,2987.39,615,0.95,1.792763924,1.241641729,0,0,1.241641729,0,FALSE
6,9128,219,424,220,403922,117137.38,286784.62,1719.42,661,0.71,0.282911919,0.18836766,1,1,0.18836766,1,TRUE
7,8717,249,363,395,365483,73096.6,292386.4,1232.71,811,0.8,0.256935872,0.141414477,0,1,0.141414477,1,FALSE
8,8194,315,353,303,269907,72874.89,197032.11,1310.86,648,0.73,0.278479375,0.159978033,1,1,0.159978033,1,TRUE
9,8582,261,435,204,248121,12406.05,235714.95,1265.37,742,0.95,0.252315311,0.147444652,0,1,0.147444652,1,FALSE
10,8832,351,470,203,408375,20418.75,387956.25,2846.69,554,0.95,0.438257473,0.322315444,0,0,0.322315444,0,FALSE
11,2829,254,368,412,472566,80336.22,392229.78,1872.56,780,0.83,1.027416048,0.661915871,0,0,0.661915871,0,FALSE
12,7997,476,415,304,476901,100149.21,376751.79,2258.82,658,0.79,0.431889459,0.282458422,1,0,0.282458422,0,FALSE
13,8815,381,355,358,447858,62700.12,385157.88,2067.61,733,0.86,0.358662507,0.234555871,0,1,0.234555871,1,FALSE
14,4353,407,438,424,401394,76264.86,325129.14,2385.68,525,0.81,0.839577303,0.548054215,0,0,0.548054215,0,FALSE
